,,,,,,,,,,,,,,,,,,,
Category,,Tên Sản phẩm ,Tên tiếng Anh ,Xuất hiện ở Trang chủ ,Flag ,Tag line ,Giá gốc ,Giá khuyến mãi ,% khuyến mãi ,Tiết kiệm ,Dung tích,Quà tặng,Mô tả sản phẩm ,Thành phần ,Giấy kiểm nghiệm ,Hướng dẫn sử dụng ,Chính sách giao hàng ,Review sản phẩm,Link ảnh sản phẩm 
Dụng cụ làm đẹp,,Chải khô mặt ,,có,,,235000,,,,,,"Chất liệu 
Cán: Gỗ
Sợ lông: Sợi tự nhiên từ cây gai dầu 

Kích thước: 6x7cm

Chải khô da mặt – Làm sạch sâu, đánh thức làn da khỏe tự nhiên
Chải khô da mặt là công cụ chăm sóc da theo phương pháp tự nhiên, giúp loại bỏ tế bào chết nhẹ nhàng và kích thích tuần hoàn mà không cần đến hóa chất hay tẩy rửa mạnh. Với thiết kế lông chải mềm mại, chuyên biệt cho da mặt, sản phẩm mang lại trải nghiệm thư giãn và an toàn khi sử dụng.
Công dụng nổi bật:


- Loại bỏ tế bào chết nhẹ nhàng: Giúp bề mặt da thông thoáng, mịn màng hơn
- Kích thích tuần hoàn máu: Hỗ trợ da hồng hào, tươi tắn tự nhiên
- Massage hệ bạch huyết 
- Tăng khả năng hấp thụ dưỡng chất: Giúp serum, kem dưỡng thẩm thấu hiệu quả hơn
- Hỗ trợ làm sạch lỗ chân lông: Giảm tích tụ bụi bẩn và bã nhờn


Điểm khác biệt:
Không giống các sản phẩm tẩy da chết thông thường, chải khô hoạt động theo cơ chế cơ học nhẹ nhàng, tôn trọng cấu trúc tự nhiên của da, hạn chế bào mòn và kích ứng.

Phù hợp với:
- Da xỉn màu, sần sùi, thiếu sức sống
- Người muốn chăm sóc da theo hướng tự nhiên, tối giản
- Những ai đang tìm kiếm giải pháp hỗ trợ phục hồi da bền vững


✨ Chỉ vài phút mỗi ngày, bạn không chỉ làm sạch làn da — mà còn đang “đánh thức” sức sống tự nhiên vốn có của da.",N/A,N/A,"Bước 1: Chuẩn bị
Rửa mặt sạch và đảm bảo da khô hoàn toàn
Làm sạch tay và dụng cụ trước khi dùng

Bước 2: Thực hiện chải khô

Chải theo nguyên tắc: nhẹ – hướng lên trên – từ trong ra ngoài

Vùng cổ:
Chải nhẹ từ dưới lên trên để kích thích lưu thông
Đường viền hàm:
Chải từ cằm hướng lên tai giúp làm gọn và nâng cơ
Má:
Chải từ cánh mũi ra hai bên thái dương
Vùng mắt:
Cực kỳ nhẹ nhàng, hoặc có thể bỏ qua nếu da nhạy cảm
Trán:
Chải từ giữa trán ra hai bên

⏱ Thời gian: 2–5 phút, 2–3 lần/tuần

Bước 3: Làm dịu và dưỡng da
Rửa mặt nhẹ nhàng sau khi chải
Thoa toner/serum/dưỡng ẩm để làm dịu và phục hồi da
Lưu ý quan trọng
Không chải trên da đang có mụn viêm, trầy xước hoặc kích ứng
Không dùng lực mạnh (da mặt rất dễ tổn thương)
Luôn giữ dụng cụ sạch sẽ, khô ráo
Nếu da nhạy cảm, nên thử ở vùng nhỏ trước

✨ Chải khô không chỉ là làm sạch lớp tế bào chết, mà còn là một nghi thức đánh thức làn da — giúp da thông thoáng, tươi sáng và sẵn sàng hấp thụ dưỡng chất tốt hơn mỗi ngày.",,,https://drive.google.com/drive/folders/1yuoZ72FG3TpSryiHfUWLmOtM6nb6FopW?usp=drive_link
Dụng cụ làm đẹp,,Combo Chải khô mặt + Chải khô body ,,,,,490000,,,,,,,,,,,,
Dụng cụ làm đẹp,,Guasha ,,có,,,595000,,,,,,"Chất liệu: Đá 
Kích thước: 7.5 x 7.5 cm

Gua sha đá là công cụ massage truyền thống giúp chăm sóc da theo phương pháp tự nhiên, không xâm lấn. Được chế tác từ đá tự nhiên nguyên khối, sản phẩm mang lại cảm giác mát lạnh, dễ chịu khi tiếp xúc với da, hỗ trợ thư giãn và phục hồi làn da sau một ngày dài.

Công dụng nổi bật:

Nâng cơ – săn chắc da: Massage đều đặn giúp cải thiện độ đàn hồi, hỗ trợ làm gọn đường nét khuôn mặt
Giảm bọng mắt, sưng phù: Kích thích lưu thông máu và bạch huyết, giúp da tươi tắn hơn
Tăng hấp thụ dưỡng chất: Khi kết hợp cùng serum hoặc dầu dưỡng, giúp dưỡng chất thẩm thấu tốt hơn
Thư giãn & giải tỏa căng thẳng: Giảm áp lực vùng cơ mặt, mang lại cảm giác nhẹ nhàng, dễ chịu

Điểm khác biệt:
Không giống các phương pháp chăm sóc tức thời, Gua sha mang đến hiệu quả tích lũy và bền vững – khi bạn kiên trì lắng nghe và chăm sóc làn da mỗi ngày.

Phù hợp với:
Mọi loại da, đặc biệt là da mệt mỏi, kém săn chắc, dễ tích tụ độc tố hoặc người muốn chăm sóc da theo hướng tự nhiên – lành tính.

✨ Một vài phút mỗi ngày, không chỉ là chăm da — mà còn là khoảng thời gian bạn kết nối và chữa lành chính mình.",N/A,Giấy kiểm nghiệm ,"Bước 1: Làm sạch & chuẩn bị da
Làm sạch da mặt
Thoa một lớp serum/dầu dưỡng để tạo độ trượt (tránh kéo căng da)
Bước 2: Thực hiện massage với đá Gua Sha

Giữ đá nghiêng khoảng 15–30 độ, massage nhẹ nhàng theo hướng từ trong ra ngoài – từ dưới lên trên

Vùng cổ:
Vuốt từ dưới lên trên để kích thích lưu thông và nâng cơ
Đường viền hàm:
Vuốt từ cằm hướng lên tai giúp làm gọn khuôn mặt
Má:
Vuốt từ cánh mũi ra thái dương để nâng cơ và giảm tích tụ bạch huyết
Vùng mắt:
Dùng cạnh mỏng, vuốt nhẹ từ đầu mắt ra đuôi mắt để giảm bọng và quầng thâm
Trán:
Vuốt từ giữa trán ra hai bên thái dương giúp thư giãn cơ và giảm nếp nhăn
Bước 3: Lặp lại & thư giãn
Mỗi động tác lặp lại 5–10 lần
Tổng thời gian: 5–10 phút mỗi ngày
Lưu ý quan trọng
Không dùng lực mạnh, tránh gây đỏ rát
Luôn massage theo một chiều (không kéo qua kéo lại)
Vệ sinh đá sau mỗi lần sử dụng
Có thể để đá trong tủ lạnh để tăng hiệu quả giảm sưng",,,https://drive.google.com/drive/folders/1Yh5hE2HXDdl2ejqI34NekF5nCuTA2Bpu?usp=drive_link
Dụng cụ làm đẹp,,Chải khô cơ thể ,,,,,275000,,,,,,"Chải khô BODY – Làm sạch, detox da và đánh thức năng lượng cơ thể

Chất liệu 
Cán: Gỗ
Sợ lông: Sợi tự nhiên từ cây gai dầu 

Kích thước: 10x10cm

Chải khô body là công cụ chăm sóc da toàn thân theo phương pháp tự nhiên, giúp loại bỏ tế bào chết, kích thích tuần hoàn và hỗ trợ hệ bạch huyết hoạt động hiệu quả hơn. Với thiết kế lông chải chắc vừa phải, sản phẩm mang lại cảm giác sảng khoái, giúp làn da và cơ thể “thức tỉnh” mỗi ngày.

Công dụng nổi bật:

- Loại bỏ tế bào chết toàn thân: Giúp da mịn màng, sáng khỏe hơn
- Kích thích tuần hoàn máu & bạch huyết: Hỗ trợ đào thải độc tố, giảm tích tụ dưới da
- Giảm sần vỏ cam (cellulite): Cải thiện bề mặt da khi sử dụng đều đặn
- Tăng hấp thụ dưỡng thể: Giúp lotion, dầu dưỡng thẩm thấu tốt hơn
- Tạo cảm giác thư giãn & tràn đầy năng lượng: Đặc biệt phù hợp dùng vào buổi sáng


Điểm khác biệt:
Chải khô không chỉ là bước làm đẹp, mà còn là một nghi thức chăm sóc cơ thể toàn diện — kết hợp giữa làm sạch, lưu thông và kích hoạt năng lượng tự nhiên của cơ thể.

Phù hợp với:

- Da cơ thể sần sùi, khô ráp
- Người ít vận động, tuần hoàn kém
- Người theo đuổi lối sống detox – chăm sóc cơ thể tự nhiên


✨ Chỉ vài phút mỗi ngày trước khi tắm, bạn không chỉ làm sạch làn da — mà còn đánh thức sự nhẹ nhàng, khỏe khoắn từ bên trong cơ thể.",N/A,N/A,"Hướng dẫn sử dụng Chải khô BODY đúng cách

Chải khô body là một bước chăm sóc cơ thể đơn giản nhưng mang lại hiệu quả rõ rệt khi thực hiện đúng kỹ thuật và đều đặn.

Bước 1: Chuẩn bị
Đảm bảo cơ thể khô hoàn toàn (trước khi tắm), có thể bôi dầu dưỡng cơ thể. 
Sử dụng bàn chải khô dành riêng cho body
Đứng ở nơi thoải mái, dễ thao tác

Bước 2: Thực hiện chải khô
Nguyên tắc: chải hướng về tim – lực vừa phải – chuyển động đều

Bàn chân → bắp chân → đùi:
Chải từ dưới lên trên theo chiều lưu thông máu
Tay:
Chải từ bàn tay hướng lên vai
Vùng bụng:
Chải theo chuyển động tròn, chiều kim đồng hồ
Lưng:
Chải từ dưới lên hoặc từ hai bên hướng vào trung tâm
Vùng nhạy cảm (ngực, cổ):
Chải rất nhẹ hoặc tránh nếu da mỏng

⏱ Thời gian: 5–10 phút/lần, 1 lần/ngày (tốt nhất vào buổi sáng)

Bước 3: Làm sạch & dưỡng da
- Tắm lại với nước để loại bỏ tế bào chết
- Thoa kem dưỡng hoặc dầu dưỡng để cấp ẩm và nuôi dưỡng da

Lưu ý quan trọng
- Không chải lên vùng da trầy xước, viêm, hoặc đang kích ứng
- Không dùng lực quá mạnh để tránh làm tổn thương da
- Vệ sinh và phơi khô bàn chải sau mỗi lần sử dụng
- Người mới bắt đầu nên chải nhẹ để da thích nghi dần

✨ Chải khô body không chỉ là làm sạch — mà là một nghi thức chăm sóc cơ thể mỗi ngày, giúp bạn cảm nhận rõ sự lưu thông, nhẹ nhàng và tươi mới từ làn da đến toàn bộ cơ thể.",,,https://drive.google.com/drive/folders/1Qldq8wau5wYA0xndhgkOziQ-8kdQwRuM?usp=drive_link
Dụng cụ làm đẹp,,Mặt nạ ủ nilon ,,,,,10000,,,,,,"Mặt nạ ủ nilon – Khóa ẩm tối đa, tăng hiệu quả dưỡng da

Mặt nạ ủ nilon là giải pháp hỗ trợ chăm sóc da chuyên sâu, hoạt động theo cơ chế occlusion (tạo lớp màng khóa ẩm) giúp giữ lại toàn bộ dưỡng chất trên da, từ đó tăng khả năng thẩm thấu và phát huy hiệu quả tối đa của sản phẩm chăm sóc.Sản phẩm này được dùng kèm với Xịt dưỡng chuyên sâu 

Số lượng: 100 miếng/ túi ",N/A,N/A,,,,https://drive.google.com/drive/folders/1MXva80X3sFcbLPc_QqaY-ILKNKoCFMo7?usp=drive_link
Dụng cụ làm đẹp,,Bông tẩy trang Muji ,,,,,70000,,,,,,"Bông tẩy trang Muji được làm từ 100% cotton tự nhiên, không qua xử lý tẩy trắng hóa học, giữ nguyên màu sắc nguyên bản của sợi bông. Nhờ đó, sản phẩm cực kỳ lành tính, phù hợp ngay cả với làn da nhạy cảm nhất.

💧 Công dụng nổi bật
- Làm sạch dịu nhẹ: Loại bỏ lớp trang điểm, bụi bẩn mà không gây tổn thương da
- Không xơ bông: Sợi bông dai, mịn, không để lại vụn trên da khi sử dụng
- Tiết kiệm dưỡng chất: Thấm hút vừa đủ, không “ăn” quá nhiều toner/serum
- Đa năng: Có thể tách lớp để làm lotion mask, tối ưu hiệu quả dưỡng da",N/A,N/A,,,,https://drive.google.com/drive/folders/1sGAhyrLGTwgZFKeeujcozu8tkyKrW00S?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Toner Hoa hồng ,,có,Được yêu thích ,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,168000,,,,100ml,,"Xịt khoáng thảo dược không chỉ đơn thuần là “cấp nước”, mà là một bước nuôi dưỡng – làm dịu – cân bằng độ ẩm cho da mỗi ngày. Khi được trồng theo phương pháp hữu cơ, các hoạt chất thực vật giữ được độ tinh khiết cao, giúp làn da hấp thụ trọn vẹn giá trị tự nhiên.

Toner Hoa hồng ược chưng cất từ cánh hoa hồng hữu cơ, giàu vitamin và chất chống oxy hóa, giúp làn da luôn mềm mại và tươi tắn.

Công dụng nổi bật:

- Cấp ẩm nhanh, làm dịu da tức thì
- Cân bằng pH tự nhiên của da
- Hỗ trợ se khít lỗ chân lông, làm sáng da
- Mang lại cảm giác thư giãn với hương hoa nhẹ nhàng

👉 Nước hoa hồng tự nhiên thường giúp làm dịu, cân bằng và phục hồi độ ẩm cho da một cách nhẹ nhàng",Nước cất từ cánh hoa hồng hữu cơ ,,"Cách sử dụng
- Xịt cách mặt 20–30cm, nhắm mắt và xịt đều 2–3 lần
- Vỗ nhẹ để dưỡng chất thẩm thấu
- Có thể dùng sau bước rửa mặt, trước serum hoặc trong ngày

Sử dụng khi nào
- Khi da khô, mất nước, ngồi điều hòa nhiều
- Sau khi rửa mặt để cân bằng pH
- Trước makeup để tạo độ ẩm nền, sau makeup để “set” lớp nền

Phù hợp với ai
- Da thường, da khô, da thiếu sức sống
- Người muốn dưỡng ẩm nhẹ nhàng mỗi ngày
- Người làm việc văn phòng, da dễ mất nước",,,https://drive.google.com/drive/folders/1sbTyKOb7aokx0t7QSI497qssjKK1k7dJ?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Toner Tía tô ,,,Được yêu thích ,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,138000,,,,100ml,,"Xịt khoáng thảo dược không chỉ đơn thuần là “cấp nước”, mà là một bước nuôi dưỡng – làm dịu – cân bằng độ ẩm cho da mỗi ngày. Khi được trồng theo phương pháp hữu cơ, các hoạt chất thực vật giữ được độ tinh khiết cao, giúp làn da hấp thụ trọn vẹn giá trị tự nhiên.

Chiết xuất từ lá tía tô hữu cơ – một loại thảo dược quen thuộc trong y học phương Đông, giàu chất chống oxy hóa và kháng viêm tự nhiên.

Công dụng nổi bật:

- Hỗ trợ kháng viêm, giảm mụn
- Thanh lọc da, kiểm soát dầu nhờn
- Làm sáng da và cải thiện sắc tố
- Giúp da khỏe và ổn định hơn",Nước cất từ cánh hoa hồng tía tô,,"Cách sử dụng
- Xịt 2–3 lần lên toàn mặt hoặc vùng da mụn
- Có thể dùng nhiều lần trong ngày để kiểm soát dầu
- Dùng trước serum để tăng khả năng thẩm thấu

Sử dụng khi nào
- Khi da đổ dầu, bí tắc lỗ chân lông
- Khi da đang có mụn viêm nhẹ, mụn ẩn
- Khi cần “refresh” da giữa ngày mà không làm bí da

Phù hợp với ai
- Da dầu, da hỗn hợp thiên dầu
- Da mụn, da dễ viêm
- Người sống trong môi trường ô nhiễm, dễ bít tắc lỗ chân lông",,,https://drive.google.com/drive/folders/1fpD_hWm29-w9yV6P_9Nm7WkTLNfBTkFy?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Toner Hoa cúc ,,,Được yêu thích ,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,168000,,,,100ml,,"Xịt khoáng thảo dược không chỉ đơn thuần là “cấp nước”, mà là một bước nuôi dưỡng – làm dịu – cân bằng độ ẩm cho da mỗi ngày. Khi được trồng theo phương pháp hữu cơ, các hoạt chất thực vật giữ được độ tinh khiết cao, giúp làn da hấp thụ trọn vẹn giá trị tự nhiên.

Toner Hoa cúc được Chiết xuất từ giống hoa cúc cổ canh tác hữu cơ, nổi bật với khả năng làm dịu và kháng viêm mạnh mẽ.

Công dụng nổi bật:
- Làm dịu da kích ứng, giảm đỏ nhanh
- Hỗ trợ phục hồi da nhạy cảm, da sau treatment
- Cấp ẩm nhẹ, giúp da mềm mại hơn
- Tăng cường hàng rào bảo vệ da

👉 Xịt khoáng hoa cúc được biết đến với khả năng làm dịu, dưỡng ẩm và cân bằng da nhạy cảm",Nước cất từ cánh hoa hồng hoa cúc,,"Cách sử dụng
- Xịt trực tiếp lên vùng da cần làm dịu hoặc toàn mặt
- Có thể xịt nhiều lớp (layer) khi da đang nhạy cảm
- Kết hợp với bông tẩy trang để làm lotion mask 3–5 phút

Sử dụng khi nào
- Khi da bị kích ứng, đỏ, ngứa hoặc sau nắng
- Sau các liệu trình treatment (peel, lăn kim nhẹ…)
- Khi da “biểu tình”, cần làm dịu ngay

Phù hợp với ai
- Da nhạy cảm, da yếu, da dễ kích ứng
- Da sau treatment, da đang phục hồi
- Người theo routine skincare tối giản – lành tính",,,https://drive.google.com/drive/folders/1x96IjdtFUI3tTY4BJfpTLjI1OH0u_DeQ?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da,Tinh chất hoa bưởi ,,,Được yêu thích ,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,,,,,,,"Tinh chất Hoa Bưởi dạng xịt được chiết xuất từ hoa và vỏ bưởi tự nhiên, mang theo hương thơm thanh mát đặc trưng cùng những dưỡng chất giúp chăm sóc tóc và da theo cách dịu nhẹ, lành tính. Sản phẩm giúp mái tóc mềm mại hơn, giảm khô xơ và hỗ trợ nuôi dưỡng chân tóc khỏe mạnh mà không gây bết dính.

💛 Công dụng nổi bật

Dưỡng tóc:
- Hỗ trợ nuôi dưỡng tóc mềm mại và chắc khỏe hơn
- Giúp tóc giảm khô xơ và dễ chải hơn
- Hỗ trợ chăm sóc da đầu và chân tóc
- Giúp mái tóc thơm nhẹ tự nhiên suốt ngày
- Mang lại cảm giác thư giãn với hương hoa bưởi dịu mát

Dưỡng da: 
- Dưỡng ẩm cho da, g iups da rạng rỡ sáng hồng 
- GIúp làm thông thoáng, se khít lỗ chân lông 
- Làm dịu da, giúp ngăn ngừa mụn, giảm nếp nhăn, giúp da săn chắc khỏe mạnh 

💧 Mỗi lần xịt là một lần mái tóc được “tưới mát” bởi hương hoa bưởi thanh khiết — nhẹ nhàng nhưng đủ để mái tóc, làn da và tinh thần đều cảm thấy dễ chịu hơn.
",Chiết xuất 100% từ hoa bưởi ,,"🌼 Dùng cho tóc
- Lắc nhẹ chai trước khi sử dụng
- Xịt trực tiếp lên chân tóc, da đầu hoặc thân tóc ở khoảng cách 10–15cm
- Massage nhẹ nhàng để tinh chất thẩm thấu tốt hơn
👉 Có thể dùng trên tóc khô hoặc tóc ẩm
👉 Nên dùng sau khi gội đầu hoặc trước khi sấy tóc

🌿 Dùng cho da
- Xịt trực tiếp lên mặt hoặc cơ thể ở khoảng cách khoảng 20cm
- Vỗ nhẹ để dưỡng chất thẩm thấu tự nhiên
👉 Có thể dùng:
- Sau khi rửa mặt
- Khi da khô, ngồi điều hòa nhiều
- Sau khi đi nắng hoặc khi cần làm dịu da nhanh

Cách sử dụng khác: 
- Hòa với mật ong uống giúp ngăn ngừa cảm cúm và hơi thở thơm mát 
- Có thể dùng để nấu chè để tạo hương hoa bưởi 
- Dùng để xông phòng 

✨ Tips sử dụng hiệu quả hơn
- Bảo quản lạnh để tăng cảm giác thư giãn và làm dịu
- Có thể dùng như xịt thơm tóc và cơ thể tự nhiên
- Kết hợp massage da đầu hoặc Gua Sha để tăng thư giãn và lưu thông

⚠️ Lưu ý
Tránh xịt trực tiếp vào mắt
Bảo quản nơi khô ráo, tránh ánh nắng trực tiếp
Nếu có hiện tượng lắng nhẹ từ nguyên liệu tự nhiên, chỉ cần lắc đều trước khi dùng",,,
Sản phẩm dưỡng sinh ,Chăm sóc da,Nước tẩy trang Tía tô & Hoa hồng ,,,,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,233000,,,,300ml,,"Công dụng: 
- Làm sạch sâu lỗ chân lông, tẩy tế bào chết trên da, loại bỏ dầu thừa
- Thư giãn, dưỡng ẩm cho da để làn da trông rạng rỡ, sáng hồng hơn
- Giúp làm thông thoáng, se khít lỗ chân lông 
- Giúp ngăn ngừa mụn, giảm nếp nhăn cho da, giúp da khỏe hơn, săn chắc hơn ","Chiết xuất tía tô, Chiết xuất hoa hồng, muối epsom, dầu hạt chanh ",,Nhỏ vào bông tẩy trang sau đó lau sạch lợp bụi bẩn hoặc lớp trang điểm trên da. Có thể dùng thay sữa rửa mặt nếu không trang điểm và dùng như 1 loại toner ,,,https://drive.google.com/drive/folders/1WefSBn342snxsgmdpqAwzV6yYTzxrT1m?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc da cơ thể,Xà bông Nghệ Hoa hồng ,,,Được yêu thích ,Mọi loại da/ Dùng được cho phụ nữ có thai & trẻ em/ Không hóa chất độc hại/ Không chất tẩy rửa/ Không hương liệu/ Không chất bảo quản,89000,,,,105gr,,"🌿 Xà bông Nghệ Mật Ong – Làm sạch dịu nhẹ, nuôi dưỡng làn da khỏe tự nhiên

Được tạo nên từ những nguyên liệu thiên nhiên giàu dưỡng chất, xà bông Nghệ Mật Ong là sự kết hợp giữa làm sạch lành tính và phục hồi da theo hướng tự nhiên. Không chỉ làm sạch bụi bẩn và dầu thừa, sản phẩm còn hỗ trợ nuôi dưỡng hàng rào bảo vệ da, giúp da mềm mại và khỏe hơn mỗi ngày.

✨ Thành phần nổi bật
Dầu dừa ép lạnh: Giúp làm sạch dịu nhẹ, giữ độ ẩm tự nhiên cho da
Dầu Sachi Inchi: Giàu Omega 3-6-9, hỗ trợ phục hồi và chống oxy hóa cho da
Nước cất hoa hồng: Làm dịu, cân bằng và mang lại cảm giác tươi mát
Mật ong: Dưỡng ẩm, hỗ trợ kháng khuẩn và làm mềm da
Bột Nghệ: Hỗ trợ làm sáng da, giảm thâm và cải thiện tình trạng da không đều màu
Bột tía tô: Thanh lọc, hỗ trợ giảm viêm và làm dịu da mụn
Tinh dầu sả hoa hồng: Mang hương thơm thư giãn tự nhiên, hỗ trợ làm sạch và cân bằng da
💛 Công dụng nổi bật
Làm sạch da nhẹ nhàng mà không gây khô căng
Hỗ trợ giảm dầu thừa và thanh lọc da
Giúp da mềm mại, ẩm mịn sau khi rửa
Hỗ trợ cải thiện thâm mụn và làm đều màu da
Mang lại cảm giác thư giãn với hương thảo mộc tự nhiên
🌱 Phù hợp với
- Da dầu, da hỗn hợp, da dễ nổi mụn, da dễ kích ứng với các sản phẩm công nghiệp 
- Da bị mụn lưng/mông, sần sùi, khô ráp 
- Da trẻ em
- Phụ nữ mang thai 
✨ Điểm khác biệt

Không chỉ là một bánh xà bông làm sạch, đây là sự kết hợp giữa thảo dược – dầu thực vật – dưỡng chất tự nhiên, giúp làn da được chăm sóc theo cách tối giản nhưng bền vững hơn mỗi ngày.

💧 Mỗi lần rửa mặt không chỉ là làm sạch da, mà còn là một bước nhỏ đưa làn da trở về trạng thái cân bằng và khỏe mạnh tự nhiên","Dầu dừa ép lạnh, Dầu Sachi Inchi, Nước cất hoa hồng, Mật ong, Bột Nghệ, Bột tía tô, Tinh dầu sả hoa hồng",,"✨ Hướng dẫn sử dụng
- Làm ướt da và bánh xà bông
- Cho xà bông vào túi lưới tạo bọt, xoa nhẹ để tạo lớp bọt mịn
- Dùng phần bọt massage nhẹ nhàng lên mặt hoặc cơ thể theo chuyển động tròn
- Thư giãn trên da khoảng 30 giây – 1 phút
- Rửa sạch lại với nước

🌿 Sử dụng cho da mặt

- Nên dùng lớp bọt mịn thay vì chà trực tiếp bánh xà bông lên mặt
- Massage nhẹ nhàng để làm sạch dầu thừa và bụi bẩn
- Phù hợp sử dụng 1–2 lần/ngày

🛁 Sử dụng cho cơ thể
- Có thể dùng trực tiếp với túi lưới tạo bọt để làm sạch toàn thân
- Đặc biệt phù hợp cho vùng da dễ đổ dầu, bí tắc hoặc cần thư giãn cơ thể

✨ Tips để sử dụng hiệu quả hơn
- Treo khô xà bông sau khi dùng để kéo dài thời gian sử dụng
- Kết hợp cùng massage nhẹ để tăng lưu thông và thư giãn da
- Sau khi rửa, nên dùng thêm xịt khoáng hoặc dưỡng ẩm để da mềm mịn hơn


💛 Lớp bọt mềm từ túi lưới không chỉ giúp tiết kiệm xà bông, mà còn mang lại cảm giác làm sạch nhẹ nhàng như một bước spa chăm sóc da mỗi ngày.",,,https://drive.google.com/drive/folders/1nw0dVpgV7kJkkWZkVe2Kix01XjMvq5-O?usp=drive_link
